Term,es,nes,pval,sidak,fdr,geneset_size,leading_edge,term
Interferon Gamma Signaling R-HSA-877300,-0.6208777704651708,-2.569787845722248,0.010176081302817552,0.5356496133408353,0.43823050519673495,12,"B2M,TRIM2,IRF9,HLA-E,IRF4,HLA-DRB5,OAS2,TRIM22,HLA-DQA2",Interferon Gamma Signaling R-HSA-877300
Interferon Signaling R-HSA-913531,-0.5770319004158192,-2.520700601817037,0.0117121458342202,0.5867057613245822,0.43823050519673495,17,"B2M,TRIM2,IRF9,HLA-E,IRF4,HLA-DRB5,IFI27,OAS2,STAT2,XAF1,TRIM22,HLA-DQA2",Interferon Signaling R-HSA-913531
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,0.589651328394371,2.180706719628758,0.029205115717622743,0.8917168371767719,0.43823050519673495,12,"FRS2,MXD4,GABRB3,MATK,TAB2,HSPB1",Signaling By Receptor Tyrosine Kinases R-HSA-9006934
Asparagine N-linked Glycosylation R-HSA-446203,-0.6356799364390322,-2.105556821016028,0.03524286670414889,0.9321812348010435,0.43823050519673495,8,"PMM1,COPZ2,TRAPPC6A,ANK3,STX17,ST6GALNAC2,RENBP",Asparagine N-linked Glycosylation R-HSA-446203
MAPK Family Signaling Cascades R-HSA-5683057,0.7049693315759811,2.0950340775263507,0.03616796328031002,0.9368894702297934,0.43823050519673495,7,"KSR1,FRS2,KITLG,PEBP1,HSPB1",MAPK Family Signaling Cascades R-HSA-5683057
Interferon Alpha/Beta Signaling R-HSA-909733,-0.5266779263877825,-2.0528126079204223,0.04009075528064954,0.9535203260117807,0.43823050519673495,11,"IRF9,HLA-E,IRF4,IFI27,OAS2,STAT2,XAF1",Interferon Alpha/Beta Signaling R-HSA-909733
RHO GTPase Cycle R-HSA-9012999,0.6349692917620036,1.9440633574322506,0.05188781130059339,0.9816143184040247,0.43823050519673495,8,"FRS2,ARMCX3",RHO GTPase Cycle R-HSA-9012999
MAPK1/MAPK3 Signaling R-HSA-5684996,0.7023437483801538,1.8818488885260756,0.059856535773105346,0.990237527087026,0.43823050519673495,6,"KSR1,FRS2,PEBP1,KITLG",MAPK1/MAPK3 Signaling R-HSA-5684996
RAF/MAP Kinase Cascade R-HSA-5673001,0.7023437483801538,1.8818488885260756,0.059856535773105346,0.990237527087026,0.43823050519673495,6,"KSR1,FRS2,PEBP1,KITLG",RAF/MAP Kinase Cascade R-HSA-5673001
Cytokine Signaling In Immune System R-HSA-1280215,-0.3990134371367217,-1.8695809655513536,0.06154203056066487,0.9914667984440858,0.43823050519673495,26,"B2M,TRIM2,TNFRSF14,IRF9,TP53,MEF2C,HLA-E,IRF4,HLA-DRB5,IFI27,OAS2,XAF1,STAT2,CEBPD,TRIM22,HLA-DQA2",Cytokine Signaling In Immune System R-HSA-1280215
