term.id,query.number,significant,p.value,term.size,query.size,overlap.size,recall,precision,term.id,domain,subgraph.number,term.name,relative.depth,intersection
GO:0002504,1,True,0.0443,101,280,9,0.032,0.089,GO:0002504,BP,20,   antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,1,"CTSD,CTSF,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
GO:0002501,1,True,0.0341,4,280,3,0.011,0.75,GO:0002501,BP,19,   peptide antigen assembly with MHC protein complex,1,"HLA-DMA,HLA-DRA,HLA-DMB"
GO:0002399,1,True,0.0341,4,280,3,0.011,0.75,GO:0002399,BP,19,   MHC class II protein complex assembly,1,"HLA-DMA,HLA-DRA,HLA-DMB"
GO:0002503,1,True,0.00862,3,280,3,0.011,1.0,GO:0002503,BP,19,    peptide antigen assembly with MHC class II protein complex,2,"HLA-DMA,HLA-DRA,HLA-DMB"
GO:0042611,1,True,2.9e-06,24,280,8,0.029,0.333,GO:0042611,CC,9,   MHC protein complex,1,"MR1,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
GO:0042613,1,True,3.52e-06,16,280,7,0.025,0.438,GO:0042613,CC,9,    MHC class II protein complex,2,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
GO:0005773,1,True,0.0179,766,280,28,0.1,0.037,GO:0005773,CC,11,   vacuole,1,"VPS41,MAN2B2,SYNGR1,MAP1LC3A,VAT1,CTSD,SLC17A5,OPTN,C3,SLC44A2,SYT11,P2RX4,HSPG2,SIDT2,EEF1A1,SMPD1,SLCO4C1,CTSF,GPC6,TCN2,MAP1LC3C,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB,NCOA4"
GO:0044437,1,True,0.00151,556,280,25,0.089,0.045,GO:0044437,CC,11,    vacuolar part,2,"VPS41,MAN2B2,SYNGR1,MAP1LC3A,VAT1,CTSD,SLC17A5,C3,SLC44A2,P2RX4,HSPG2,SIDT2,EEF1A1,SMPD1,SLCO4C1,CTSF,GPC6,TCN2,MAP1LC3C,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
GO:0000323,1,True,0.0129,668,280,26,0.093,0.039,GO:0000323,CC,11,    lytic vacuole,2,"VPS41,MAN2B2,SYNGR1,MAP1LC3A,VAT1,CTSD,SLC17A5,C3,SLC44A2,SYT11,P2RX4,HSPG2,SIDT2,EEF1A1,SMPD1,SLCO4C1,CTSF,GPC6,TCN2,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB,NCOA4"
GO:0005764,1,True,0.0129,668,280,26,0.093,0.039,GO:0005764,CC,11,     lysosome,3,"VPS41,MAN2B2,SYNGR1,MAP1LC3A,VAT1,CTSD,SLC17A5,C3,SLC44A2,SYT11,P2RX4,HSPG2,SIDT2,EEF1A1,SMPD1,SLCO4C1,CTSF,GPC6,TCN2,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB,NCOA4"
