,gene,slope,intercept,slope_pval,intercept_pval,-log10(slope_pval),-log10(intercept_pval)
MIR1302-10,MIR1302-10,0.0,0.0,,,,
FAM138A,FAM138A,0.0,0.0,,,,
OR4F5,OR4F5,0.0,0.0,,,,
RP11-34P13.7,RP11-34P13.7,-0.0006975221089340054,0.01493293954173896,0.9116556200177321,0.5476693826649869,0.04016918642067899,0.2614815375289856
RP11-34P13.8,RP11-34P13.8,-0.0006844428453344565,0.001576594231042487,0.36359858501134634,0.5948646194463159,0.43937781555722083,0.2255818606870188
AL627309.1,AL627309.1,0.0016209264908486828,0.02245049883235175,0.8782922983421739,0.5912137681618674,0.05636092551629906,0.2282554606634675
RP11-34P13.14,RP11-34P13.14,0.0,0.0,,,,
RP11-34P13.9,RP11-34P13.9,0.0001565692897201004,-0.0009143684579230151,0.42080049995964475,0.2348648466346895,0.3759237528619554,0.6291819813282019
AP006222.2,AP006222.2,0.02889446099762532,-0.009908156197378934,0.06393175957634001,0.8701514658337248,1.1942833424333532,0.06040514387531751
RP4-669L17.10,RP4-669L17.10,-0.002221383917415996,-0.0236506104979885,0.8024738134928658,0.5002950686859573,0.09556913068770614,0.3007737778542125
OR4F29,OR4F29,0.0,0.0,,,,
RP4-669L17.2,RP4-669L17.2,0.0010476055761819557,0.0010580347527725832,0.48518224632554585,0.8578858975814603,0.31409509911608785,0.06657047129586997
RP5-857K21.15,RP5-857K21.15,0.0008354695492921163,0.0003713791550568473,0.6349963035837088,0.9572962627274263,0.197228802799159,0.018953636563714592
RP5-857K21.1,RP5-857K21.1,0.0009150125997119747,-0.0020269775225059093,0.38193840097813325,0.622623084741345,0.41800667445075684,0.2057747811961908
RP5-857K21.2,RP5-857K21.2,-0.00013977448034947507,-0.0005076952650528323,0.7825798700304513,0.7994010794914949,0.10647132746413067,0.09723526961496454
RP5-857K21.3,RP5-857K21.3,0.0004666290082361328,-0.00039685832071746315,0.6814319017091235,0.9294227407740601,0.16657753849352885,0.03178670556936902
RP5-857K21.4,RP5-857K21.4,0.0006373139731661742,-0.008050387379065545,0.7585851101839055,0.3268408564207854,0.11999568605773414,0.4856636601903162
RP5-857K21.5,RP5-857K21.5,0.0,0.0,,,,
OR4F16,OR4F16,0.0,0.0,,,,
RP11-206L10.3,RP11-206L10.3,-0.00483924797005439,0.015381353333869993,0.6572108520369753,0.7205771226008048,0.18229527399402917,0.14231953028720729
RP11-206L10.5,RP11-206L10.5,-0.00015912338734072143,0.0009643152512103611,0.8645684471502332,0.7933249976212642,0.0632006183033988,0.10054886090614208
RP11-206L10.4,RP11-206L10.4,0.0013230470515001296,-0.0062073057252642755,0.12306087445657247,0.06778257361609494,0.9098800031898495,1.1688819455893849
RP11-206L10.2,RP11-206L10.2,0.010904221891436163,-0.014084646701850813,0.09679146990121833,0.5825724494590321,1.014162914779062,0.23465005752303053
