,names,scores,logfoldchanges,pvals,pvals_adj
0,IFITM1,18.503756,2.5139387,4.5377505031632564e-64,2.1927544868910647e-60
1,RPL28,15.749587,1.1622993,6.139442527401405e-49,9.12840650862629e-46
2,RPL11,15.483379,1.1384169,1.7604073063693218e-47,2.4304937732009014e-44
3,RPL32,14.48547,1.1777127,2.3672362451576938e-42,2.1788718753644315e-39
4,RPS12,14.345191,1.1349229,9.665905254393883e-42,8.492376484644518e-39
5,RPS15A,14.183657,1.0847505,7.439117866293297e-41,5.991279551565964e-38
6,RPL30,13.346574,0.9874262,7.211357687498453e-37,4.273590032316094e-34
7,RPS8,12.979436,0.9677926,3.864270178198295e-35,2.0187156290376988e-32
8,RPL12,12.907219,1.1033912,8.353830151787127e-35,4.1402867436895735e-32
9,RPL19,12.739734,0.9953928,4.9833922698633434e-34,2.2934283139092517e-31
10,RPL41,12.575731,1.2905407,3.332281663532717e-33,1.4638561880550885e-30
11,RPL39,12.531985,1.0170195,4.5369370239022594e-33,1.865839483723548e-30
12,RPLP1,12.50638,0.88693106,7.356367337245761e-33,2.9018617196249655e-30
13,RPL10,12.236679,0.7818438,1.0139026149558862e-31,3.8426909106828086e-29
14,RPLP2,11.7669735,1.1313555,1.3034034663181722e-29,3.9989659683276114e-27
15,RPS13,11.267414,1.018731,1.885965459903212e-27,5.207689482067026e-25
16,RPS15,11.22689,0.88167703,2.750568456401304e-27,7.488132069546592e-25
17,RPL18A,11.059781,0.9225334,1.3794531528815274e-26,3.462785713252863e-24
18,RPL29,10.759951,0.97276944,2.457904211820872e-25,5.524282617475073e-23
19,RPS28,10.75659,0.8752529,2.5310802938574407e-25,5.623362183904651e-23
20,RPS4X,10.686409,0.85781556,4.9899838542898345e-25,1.0483847599953066e-22
21,RPS27A,10.615151,0.8550096,9.91331094115052e-25,2.0169935492789306e-22
22,FAU,10.479868,0.82430744,3.418052921678668e-24,6.6067544923126975e-22
23,RPS14,10.456642,0.9145426,4.40528225662917e-24,8.430663439444081e-22
24,RPL34,10.44183,0.90779495,4.958151688139148e-24,9.395697449023685e-22
25,ALOX5AP,10.352851,3.0691662,4.7882352724803435e-23,8.569611072386347e-21
26,GIMAP7,10.270822,2.8006415,8.925916023847544e-23,1.58283514518302e-20
27,RPS21,10.079703,1.0726727,1.3506069492298702e-22,2.2700766714490575e-20
28,RPS23,9.971555,0.8342182,3.571224723416785e-22,5.849847684654495e-20
29,RPS7,9.910557,0.879345,6.171912753133357e-22,9.778434557812678e-20
30,RPL22,9.780728,1.061855,1.9618249067325478e-21,3.0336090897786736e-19
31,RPL36,9.733256,0.93754166,3.054875823876465e-21,4.649424787378597e-19
32,RPS3,9.664285,0.7812191,5.649239552544453e-21,8.399550100856287e-19
33,RPS24,9.588974,0.76228774,1.1103377822259627e-20,1.613663082153807e-18
34,RARRES3,9.432198,1.7989345,5.641312612517337e-20,7.838336926558216e-18
35,ISG20,9.375834,1.4451627,7.366452230045266e-20,1.0098308876208862e-17
36,RPL37,9.322752,0.78606683,1.0412159854895211e-19,1.41730026644556e-17
37,RPL35A,9.283658,0.83207875,1.452048934906512e-19,1.9356313008833083e-17
38,RPL8,9.216534,0.75089747,2.7365714380335597e-19,3.4681850471682255e-17
39,RPL18,9.064113,0.70891213,9.873294538395175e-19,1.192755688329002e-16
40,RPL14,8.906129,0.8006513,3.4362129016020044e-18,4.001118022594286e-16
41,RPS25,8.842458,0.79516745,5.727357580383005e-18,6.550538146226219e-16
42,RPS19,8.765639,0.72324026,1.0797758797280749e-17,1.2134295336781373e-15
43,IFI44L,8.65917,2.6071126,5.127958393941963e-17,5.506572655361345e-15
44,MT2A,8.653059,1.427469,2.931056043747306e-17,3.200812557604049e-15
45,ISG15,8.587883,1.6419209,5.394152706764254e-17,5.728768003793751e-15
46,RPS5,8.576357,0.9055104,5.2033674504694984e-17,5.556678975145024e-15
