,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL32,22.9125,1.4611677,5.405747395232257e-86,5.246007559703144e-82
1,RPL34,21.54029,1.4240907,2.849012396943179e-78,9.216080268711693e-75
2,RPS12,20.694366,1.1145422,1.0291974235362618e-72,2.496961599176913e-69
3,RPS8,20.396162,1.265463,5.32543976188025e-73,1.4765922905476252e-69
4,RPL11,19.936697,1.2409084,4.498803558505247e-70,8.731727826702833e-67
5,RPL19,19.400654,1.1802753,4.491973639125409e-67,6.227479740127504e-64
6,RPS13,19.333017,1.4522008,2.3081054273994648e-66,2.9865345493597477e-63
7,RPS3A,18.938168,1.4653314,1.3550797858758932e-64,1.5471025625920713e-61
8,RPL13,18.929306,0.9954931,2.0795743500031843e-65,2.522653659950738e-62
9,RPL18A,18.865536,1.2309637,1.350925482519781e-63,1.380005931064549e-60
10,EEF1A1,18.757885,0.8745993,1.9707584106859148e-64,2.1250249996112732e-61
11,RPL12,18.618916,1.3711109,3.1030134498308464e-62,3.0113194023883447e-59
12,RPL37,18.46029,1.2998173,6.855413359079713e-61,6.336034185065626e-58
13,RPL39,17.507524,1.2547779,1.2161165624598986e-57,1.0262437548167031e-54
14,RPL22,17.140469,1.6133778,3.331126733562732e-54,2.5861535508687626e-51
15,RPS28,16.87981,1.0820773,1.1835227533193614e-52,7.921032110060512e-50
16,RPS18,16.82438,1.1457775,6.599315027893507e-54,4.9263886683225033e-51
17,RPL30,16.776802,0.9694546,2.9105046023837893e-53,2.092221623246925e-50
18,RPL41,16.62218,1.4919533,7.95080404449305e-53,5.5113269892702e-50
19,RPL29,16.411737,1.3498144,3.868284175496541e-51,2.4219202439423342e-48
20,RPS23,16.369959,1.0651511,3.6298494778061326e-51,2.3483916171579745e-48
21,RPS15,16.056122,1.0024301,4.469202131525366e-49,2.628568005175025e-46
22,RPL21,15.993046,1.2978375,9.095500881227432e-49,5.19219342952186e-46
23,RPL6,15.770135,1.1098119,1.46582899137647e-47,7.68926348476376e-45
24,RPL10,15.769633,0.854639,2.5549525496127063e-48,1.3774742787620282e-45
25,RPL36,15.46899,1.0650183,6.828417328793567e-47,3.487703998277746e-44
26,RPL5,15.393916,1.3427509,4.938139215875706e-46,2.45754728310081e-43
27,RPS15A,15.202119,0.84883124,3.801141369439779e-45,1.7157291358013178e-42
28,RPS27A,15.201165,0.92687565,1.44798373681518e-45,6.854613743377031e-43
29,RPS4X,14.731591,0.998735,3.95570398146568e-43,1.7449149676424403e-40
30,RPL18,14.449466,1.00739,1.3751612322042592e-41,5.799242878259085e-39
31,RPL36A,14.427724,2.0296986,1.0457455935875988e-41,4.510416939098157e-39
32,RPS21,14.041213,1.1126838,9.721835432656265e-40,3.850838855355621e-37
33,RPL14,13.9405985,1.0567122,2.7188862181963144e-39,1.0347227962543582e-36
34,RPS6,13.931835,1.1269118,2.7002049803458124e-39,1.0347227962543582e-36
35,RPS14,13.8980875,0.9503182,5.727200301523632e-39,2.1376775125436957e-36
36,RPS5,13.746016,1.2030853,2.239003304152317e-38,8.199399081187231e-36
37,RPLP2,13.67226,0.9914075,2.171319651092619e-37,7.525561269295828e-35
38,RPL26,13.652398,1.0009508,2.6905207374207066e-37,9.161459121508507e-35
39,RPS27,13.211057,0.86120176,9.479688517812095e-35,2.920496419717698e-32
40,RPL35A,13.138942,1.0070087,1.6063771536577206e-35,5.196362362557117e-33
41,RPS19,13.059333,0.9233337,4.5148094280476546e-35,1.413353809499628e-32
42,RPS3,12.890374,0.8223458,6.9037614008850296e-34,1.9999269407429483e-31
43,LTB,12.858072,1.9996959,2.8290764304621155e-34,8.319627945278667e-32
44,RPL8,12.680043,0.95252633,2.3483857936937937e-33,6.6057709956236e-31
45,RPL9,11.83941,1.0670017,9.903015186749312e-30,2.464200278969454e-27
46,RPL10A,11.368462,1.131418,1.1125545953301642e-27,2.510880481484088e-25
47,PFDN5,11.310362,1.3314766,1.909025716725014e-27,4.2104863790813405e-25
48,UBA52,11.261338,1.0153283,4.164204410199194e-27,8.980338155284018e-25
49,RPS7,11.210873,0.7567614,6.099356788429357e-27,1.3009056693035757e-24
50,NACA,11.159828,1.0808654,8.633211312576542e-27,1.8213260691934578e-24
51,EEF1B2,11.02077,1.1602734,3.2354678829252716e-26,6.473937746360474e-24
52,RPL3,11.013003,0.98765975,3.2058763230283155e-26,6.473937746360474e-24
53,RPL28,10.770788,0.59941226,6.101738172543139e-25,1.1842863619088978e-22
54,RPS9,10.389433,0.91026676,1.1457644266667595e-23,2.1590428890461293e-21
55,RPS25,10.357339,0.78408426,2.107993097684657e-23,3.896575050758238e-21
56,RPL24,10.079871,0.90749276,2.307522090634767e-22,4.108871216250477e-20
