,names,scores,logfoldchanges,pvals,pvals_adj
0,FAM177A1,21.23923,2.8480754,1.3013576017341922e-84,1.5721213177450125e-81
1,RPL11,21.19608,1.0082461,2.913563178630634e-85,3.754417511983435e-82
2,RPL12,20.719122,1.342224,4.861640417956159e-82,5.220591535481922e-79
3,RPL8,19.521524,1.1135932,2.1420389377136523e-74,1.9715938393841517e-71
4,IFITM1,18.863585,1.7710652,3.531027309881335e-70,2.9674446466389703e-67
5,RPL32,18.47846,1.0006037,1.0999127810785491e-67,7.874153387210101e-65
6,RPS8,18.456833,0.94424886,1.0048586105307255e-67,7.470350801133998e-65
7,RPS12,18.23983,0.81482184,2.848639409337669e-66,1.8353783714362604e-63
8,OAZ1,17.847725,1.7169894,5.6094152913798016e-64,3.388262130221256e-61
9,IL7R,17.665236,3.1635456,4.058490544497982e-61,2.2413303924171856e-58
10,RPS13,17.329285,1.0276363,1.632636622820051e-60,8.765898134024658e-58
11,IFITM2,16.96901,1.9072964,1.4497933951243875e-58,7.185399111374175e-56
12,CREM,16.737324,2.156679,3.782927872084239e-57,1.7004700660352617e-54
13,CD7,16.730259,2.1676192,8.564621524119522e-57,3.6787904319934724e-54
14,RPL28,16.718946,0.76221615,4.607677124420161e-56,1.9361258943025494e-53
15,RPL19,16.571749,0.91048026,5.68882600577173e-56,2.3395599545864207e-53
16,ISG20,16.470467,2.1811285,3.771334828402915e-55,1.4876761407795906e-52
17,CXCR4,15.7915125,1.8272916,2.2121301141122578e-51,8.22274287993766e-49
18,RPL29,15.682079,0.94919354,9.442199122077008e-51,3.4435522043514433e-48
19,RPS15,15.580489,0.7506088,4.740537889614981e-50,1.6968492012660733e-47
20,LEPROTL1,15.4744005,1.8639513,1.174868447858793e-49,4.128914950665929e-47
21,RPL34,15.420447,0.79799366,2.321618328009349e-49,8.013314403945127e-47
22,RPL10,15.176674,0.6485885,1.3533795355520391e-47,4.359912173780894e-45
23,RPL41,15.162535,1.1094476,5.646003407668812e-48,1.8815793080488013e-45
24,EEF1A1,15.105484,0.6801081,1.241181468093742e-47,4.066236711319312e-45
25,FTH1,15.014977,1.2512065,5.199858325332561e-47,1.6476731404975914e-44
