,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL36A,47.982044,3.559612,0.0,0.0
1,RPS3A,44.29649,1.9067676,1.174551174145527e-279,2.5329848598878373e-276
2,RPL39,44.082855,1.8404526,5.883708796397463e-284,1.4274613003659794e-280
3,RPL34,43.647404,1.701031,1.829199326419771e-276,3.5502929726481334e-273
4,RPS8,42.187786,1.585634,2.1841209729513627e-263,3.853782178546636e-260
5,RPS13,41.89255,1.7552487,3.8305513166928794e-258,6.195597542141007e-255
6,RPL32,40.13916,1.551785,6.843327529697844e-241,8.854809601593697e-238
7,RPS28,39.5094,1.5002083,1.3504072213229073e-242,1.872146697046879e-239
8,RPL41,39.495842,2.1425679,2.764611690086805e-243,4.1275652532996e-240
9,RPS21,37.891758,1.8607999,3.881359350168673e-227,3.9649107172328304e-224
10,RPL37,36.58403,1.6853604,1.3666564171264821e-210,1.2057015636367224e-207
11,RPL22,36.19507,2.0043433,2.8314648467575954e-210,2.3893870091616597e-207
12,RPS12,35.996933,1.3817704,6.560513337103678e-208,5.3055418066602205e-205
13,RPL12,35.533234,1.5070693,1.8342382819382558e-207,1.4240292325655843e-204
14,RPL11,34.63774,1.3638875,1.6274555102997126e-193,1.0189446451421652e-190
15,RPS23,34.576286,1.3626288,9.785182375602183e-197,6.782878740287956e-194
16,RPL10,34.26857,1.1023437,1.006058626184692e-195,6.733307543316789e-193
17,RPS5,33.361847,1.7282925,1.5196802199868434e-186,8.938022239310498e-184
18,RPL5,33.062813,1.7056246,1.7768990043702997e-182,9.579953548839763e-180
19,RPL30,32.967968,1.2333101,5.812314599397539e-181,2.9687161594659697e-178
20,RPL19,32.95336,1.1487292,3.653624795342242e-182,1.916573071697232e-179
21,RPL18A,32.828148,1.3075404,6.127851874864163e-180,3.049627616390732e-177
22,RPS4X,32.755264,1.2508291,1.8348290186463274e-183,1.017491326368759e-180
23,RPL29,32.576702,1.3936858,1.8561952545247252e-179,9.006723423767597e-177
24,RPL35A,32.43052,1.3624216,5.198696639568037e-178,2.461012270179903e-175
25,RPS29,31.404163,1.802117,1.8578067170352598e-172,8.385621063008687e-170
26,EEF1A1,30.930216,0.9068832,3.9041989942675e-166,1.6839244062163978e-163
27,RPL21,30.678453,1.6239513,3.6078403576915366e-164,1.5222733370094574e-161
28,RPS15A,30.665375,1.177241,1.4924227641493522e-160,6.034673631119745e-158
29,RPS27,30.405529,1.2670805,3.804330000954889e-159,1.506902877317009e-156
30,RPS27A,30.239141,1.132503,1.5477592662158249e-158,6.008091919596589e-156
31,RPS24,30.10505,1.3843906,3.811960295562838e-161,1.5741773909910452e-158
32,RPL18,29.894527,1.2731286,3.1359831327199765e-157,1.1934567965286671e-154
33,RPS14,29.710663,1.269376,2.1906328056218246e-154,8.022262664964905e-152
34,RPL14,28.854816,1.344473,7.785921058787498e-149,2.7551804746797795e-146
35,RPL28,28.794563,0.9139533,5.978371101241008e-148,2.0720393697140486e-145
36,RPLP2,28.555426,1.2026955,4.192608211119667e-146,1.4276198731512564e-143
37,RPL6,28.053549,1.2981763,2.733048949137702e-142,9.145818457554079e-140
38,RPS6,27.374033,1.3408961,2.018658692870169e-136,6.319378479018889e-134
39,RPS7,27.281384,1.1259812,2.229109370575116e-136,6.867425995792448e-134
40,RPL36,26.959217,1.3200569,3.255294164083471e-133,9.573030974347893e-131
41,RPL13,26.845528,0.9597531,4.48929382332505e-132,1.2813632914252338e-129
42,EEF1B2,26.53107,1.6894553,5.64424720887285e-133,1.6350625981643752e-130
43,RPL26,26.440386,1.1193073,7.947701267656135e-129,2.20367048434197e-126
44,RPL9,25.84868,1.4841995,1.816322104305217e-126,4.8962494058972164e-124
45,CD7,25.319494,2.2224178,5.258651051640787e-125,1.3608687768172805e-122
