,names,scores,logfoldchanges,pvals,pvals_adj
0,HSPA1B,41.95443,4.879012,6.189028409617585e-246,1.196277301294983e-241
1,HSPA1A,37.18223,4.34188,5.993395744035005e-213,5.792317316822631e-209
2,PPP1R15A,36.454098,4.036452,1.7928716228646762e-202,8.663603899587832e-199
3,HSPH1,36.205082,3.806232,4.305523213142199e-205,2.7740486062275185e-201
4,JUN,35.36675,4.0760465,3.9908599240772014e-197,1.5427866294497644e-193
5,HSP90AA1,35.30051,3.1386323,1.421037806020144e-184,3.9238913932233376e-181
6,DNAJB1,34.846348,3.8481433,5.702000334127467e-194,1.8368994076391634e-190
7,DDX5,34.03683,3.0656524,9.545680295993697e-184,2.306355680515777e-180
8,DNAJA1,33.196167,3.2145975,1.6348396440194236e-178,3.5110906088057154e-175
9,HSP90AB1,31.94818,2.8191934,9.382160334727741e-164,1.6486161555450228e-160
10,CD69,31.327854,3.7854528,6.660818478036404e-164,1.2874696036196565e-160
11,BTG2,30.264534,3.2467766,3.025731570135942e-156,4.873697126596469e-153
12,FOSB,29.589907,3.782985,9.736702391704328e-146,1.176254503307831e-142
13,DUSP1,29.515062,3.4627597,3.5630087826931327e-150,5.297645904667352e-147
14,KLF6,28.63612,3.298197,4.5389231939731105e-143,5.160755671547426e-140
15,EZR,27.77907,2.748424,4.875302012935319e-136,4.959721716211936e-133
16,RALGPS2,27.71695,3.531016,2.749590865842e-132,2.5308019926600008e-129
17,IER5,26.731174,3.765346,6.589606570622254e-122,5.094820216142302e-119
18,SFPQ,26.692352,2.7122073,5.025212646186045e-128,4.4151061471877305e-125
19,MALAT1,26.623207,2.4454978,1.7462271722359962e-117,1.0228128791560476e-114
20,RASGEF1B,26.376623,3.4857109,1.3045980809020124e-120,8.405525435251666e-118
21,NR4A2,25.977207,2.830456,1.9744034279596423e-122,1.590135160792997e-119
22,CD83,25.95235,2.6049633,1.0064870607702677e-120,6.708409792285692e-118
23,CHORDC1,25.917244,3.1786616,1.918187001483551e-119,1.1586448922398611e-116
24,REL,25.890461,2.731377,7.251676221692295e-122,5.391063449580399e-119
25,HSPD1,25.73992,2.823711,1.000926292492057e-120,6.708409792285692e-118
26,SRSF7,25.649647,2.6255674,5.700939949713955e-120,3.5546280092910015e-117
27,SKIL,24.896854,2.9622943,3.600704317405883e-113,1.933278159753842e-110
28,BANK1,24.717348,2.455208,1.291741494188692e-112,6.748127389506278e-110
29,CXCR4,24.460836,2.576868,5.948638719905844e-111,2.8745309454265012e-108
30,DDX3X,24.404491,3.1516886,1.5498257802676049e-108,6.808314206089213e-106
31,PNRC1,23.76239,2.2547355,4.253574704081966e-104,1.8270521212266737e-101
32,NR4A1,23.375185,2.600789,8.574185045098244e-103,3.4527171403479994e-100
33,CCNL1,23.366026,3.069426,1.8010756581464962e-100,6.446850258576597e-98
34,UBC,23.316166,2.2721074,2.0382114960432764e-101,7.724821570004018e-99
35,MT-ND1,23.274275,1.9540355,4.4493312890543476e-98,1.5357343658237766e-95
36,FOS,23.25462,3.416235,1.4787442766710796e-100,5.392952476184019e-98
37,EIF5,22.90315,2.4412208,2.295551395524439e-99,8.067402349834887e-97
38,SWAP70,22.653824,2.9573228,1.553310724422203e-95,4.921957867599469e-93
39,IER2,22.64505,2.4494278,1.735826762844997e-97,5.8862799121106926e-95
40,JUNB,22.628645,2.3901205,1.6191761150536915e-96,5.304585614893696e-94
41,PTPRC,22.560358,2.4805481,7.18649303059622e-97,2.394960754972316e-94
42,RBM39,22.32976,2.4811306,4.036276114171651e-95,1.2583416292068361e-92
43,BRD2,22.306301,2.7704647,5.646581729927754e-94,1.705355910277712e-91
44,RSRP1,22.244907,2.8819356,4.094348309479077e-93,1.1990857344533497e-90
45,ZFP36,21.944931,2.207602,6.61523901053696e-92,1.8803816887451306e-89
46,SQSTM1,21.488752,2.5099566,7.269058705031246e-89,2.0071947958506995e-86
47,MT-ATP6,21.29376,1.9389405,2.106455313214648e-86,5.357325624884991e-84
48,NFKBIA,21.076628,2.569555,5.360094630264204e-86,1.3455229754334649e-83
49,EIF4G2,21.065586,2.4789383,6.2513333239429664e-86,1.5491284848524818e-83
50,TAGAP,21.043894,2.7021697,4.1002941047999544e-85,1.0032225917933964e-82
51,SRSF5,20.673468,2.769315,2.862413079777009e-82,6.830565730741952e-80
52,HSPA8,20.613033,1.8115344,1.3984796255023631e-81,3.296489351382339e-79
53,AC016831.7,20.473446,3.0124998,4.211105199931484e-80,9.690053858270912e-78
54,AHNAK,20.370583,3.4587264,5.091142237843982e-78,1.0581364334977024e-75
55,DDX17,20.270847,2.6456208,6.3655904976542614e-80,1.447535279166579e-77
56,PARP15,20.243164,3.4138172,5.4163332470948256e-77,1.1020242666641673e-74
57,HLA-B,20.22289,1.6973559,1.024266334231318e-79,2.275637238431856e-77
58,ZFP36L1,20.141314,2.139708,1.0126672692014278e-79,2.275637238431856e-77
59,HNRNPA2B1,20.130934,1.8302851,1.5496230897173803e-78,3.3280738556830276e-76
60,SLC2A3,20.126768,2.5103958,3.2714992024763486e-79,7.185773645984698e-77
61,KLF2,19.919266,2.426982,3.157081570953381e-78,6.632959748364989e-76
62,CD55,19.653475,2.1770604,1.97753430423533e-76,3.9816417256838226e-74
63,HLA-A,19.60377,1.5270513,1.81397397202126e-73,3.4041070781746538e-71
64,WSB1,19.476799,2.3422182,4.708494609758073e-75,9.38252498061998e-73
65,YWHAZ,19.44751,1.7561754,2.568290660653435e-74,5.014392947451539e-72
66,CDKN1A,19.438509,2.5232894,1.3304028137512226e-74,2.624015917040549e-72
67,IDS,19.331911,2.5044901,1.427907493761428e-73,2.7058847006779064e-71
68,SAT1,19.322054,2.118273,3.768706608322931e-74,7.284533003227393e-72
69,MT-ND5,19.30531,1.7277594,7.224460581237726e-73,1.3427076786033079e-70
