,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC2,19.183414,6.8582296,3.241416551968319e-62,3.48074114072198e-59
1,IGLC3,15.259191,7.425281,2.0493093003544683e-43,5.912104397992764e-41
2,XIST,14.567468,3.2264624,3.0256330783642967e-41,7.402843262240949e-39
3,IGHG3,14.431679,2.5012221,4.738075999074497e-42,1.205029881396197e-39
4,RRBP1,14.193087,1.9579189,7.474300142863279e-41,1.7801827128110094e-38
5,IGHG4,13.616106,2.779132,2.622309701509173e-37,5.06866242204708e-35
6,FOS,13.248099,2.1870248,8.47328278687068e-37,1.5748084902636864e-34
7,IGHV3-23,12.806622,4.455295,1.788801231078435e-33,2.680289844613571e-31
8,SLC38A2,12.608987,2.2552826,5.407703842796928e-33,7.979046379955863e-31
9,IGKV3-20,12.407839,3.1068325,8.907616420479136e-32,1.2659949837605973e-29
10,NEAT1,12.212199,1.8357853,1.4654750548913854e-31,2.0676034551821597e-29
11,JUN,11.517244,1.8211113,8.455242651449605e-29,1.0543960336120609e-26
12,IGLV2-14,11.351037,3.8425272,5.6813510244784544e-27,6.134906924700785e-25
13,HSPA1B,11.263499,1.9584843,9.699173005238599e-28,1.1293693675798609e-25
14,NFKBIZ,11.061753,2.4331977,3.2761847229464474e-26,3.422993216747669e-24
15,IGHG2,10.802937,3.3771305,4.302463619237642e-25,4.158115964812219e-23
16,MALAT1,10.773245,1.5494055,1.165931459332923e-25,1.1676833770697445e-23
17,SRRM2,10.331798,1.5822588,1.224151640957761e-23,1.090397560740671e-21
18,IGLV2-23,10.278903,4.513418,1.1376606181029806e-22,9.519412159009745e-21
19,IER3,10.004743,3.5957897,9.970652206152637e-22,7.834257581005054e-20
20,IGKV3-15,9.796938,3.312754,5.228272667262525e-21,3.8868185532891284e-19
21,MT-ATP6,9.758091,1.1328493,1.676259415730913e-21,1.3064684776880167e-19
22,IGHGP,9.260081,3.6900177,4.527498791925224e-19,2.94653279963376e-17
23,FOSB,9.239659,1.4196202,1.7622464532119538e-19,1.1868453551963015e-17
