,Unnamed: 0,from,to,source,database
10,11,CXCL10,CXCR3,kegg_cytokines,kegg
46,47,IL6,IL6ST,kegg_cytokines,kegg
47,48,IL6,IL6R,kegg_cytokines,kegg
71,72,IL23A,IL12RB1,kegg_cytokines,kegg
72,73,IL23A,IL23R,kegg_cytokines,kegg
83,84,IL7,IL7R,kegg_cytokines,kegg
84,85,IL7,IL2RG,kegg_cytokines,kegg
125,126,IFNG,IFNGR2,kegg_cytokines,kegg
126,127,IFNG,IFNGR1,kegg_cytokines,kegg
143,144,TNFSF10,TNFRSF10A,kegg_cytokines,kegg
144,145,TNFSF10,TNFRSF10B,kegg_cytokines,kegg
146,147,TNFSF10,TNFRSF10D,kegg_cytokines,kegg
151,152,TNF,TNFRSF1B,kegg_cytokines,kegg
152,153,TNF,TNFRSF1A,kegg_cytokines,kegg
153,154,LTA,TNFRSF1B,kegg_cytokines,kegg
154,155,LTA,TNFRSF1A,kegg_cytokines,kegg
155,156,LTA,LTBR,kegg_cytokines,kegg
156,157,LTA,TNFRSF14,kegg_cytokines,kegg
157,158,LTB,LTBR,kegg_cytokines,kegg
164,165,CD70,CD27,kegg_cytokines,kegg
166,167,TNFSF9,TNFRSF9,kegg_cytokines,kegg
173,174,TNFSF13B,TNFRSF13C,kegg_cytokines,kegg
229,230,CD80,CD28,kegg_cams,kegg
230,231,CD80,CTLA4,kegg_cams,kegg
231,232,CD86,CD28,kegg_cams,kegg
232,233,CD86,CTLA4,kegg_cams,kegg
233,234,HLA-DMA,CD4,kegg_cams,kegg
245,246,ITGAM,ICAM1,kegg_cams,kegg
246,247,ITGB1,VCAM1,kegg_cams,kegg
247,248,ITGA4,VCAM1,kegg_cams,kegg
262,263,ALCAM,CD6,kegg_cams,kegg
263,264,PTPRC,CD22,kegg_cams,kegg
271,272,JAM3,JAM3,kegg_cams,kegg
275,276,JAM3,ITGB2,kegg_cams,kegg
276,277,JAM3,ITGAM,kegg_cams,kegg
282,283,ICAM3,ITGB2,kegg_cams,kegg
283,284,ICAM3,ITGAL,kegg_cams,kegg
311,312,CD80,CD274,kegg_cams,kegg
445,446,CALM1,PDE1B,pharmacology,guide2pharmacology
447,448,CALM1,MYLK,pharmacology,guide2pharmacology
452,453,CALM3,PDE1B,pharmacology,guide2pharmacology
454,455,CALM3,MYLK,pharmacology,guide2pharmacology
459,460,CALM2,PDE1B,pharmacology,guide2pharmacology
461,462,CALM2,MYLK,pharmacology,guide2pharmacology
531,532,CXCL10,CXCR3,pharmacology,guide2pharmacology
586,587,CD70,CD27,pharmacology,guide2pharmacology
725,726,TNFSF10,TNFRSF10B,pharmacology,guide2pharmacology
726,727,TNFSF10,TNFRSF10A,pharmacology,guide2pharmacology
730,731,TNFSF13B,TNFRSF13C,pharmacology,guide2pharmacology
736,737,LTA,TNFRSF1A,pharmacology,guide2pharmacology
737,738,LTA,TNFRSF1B,pharmacology,guide2pharmacology
738,739,LTA,TNFRSF14,pharmacology,guide2pharmacology
739,740,TNF,TNFRSF1A,pharmacology,guide2pharmacology
740,741,TNF,TNFRSF1B,pharmacology,guide2pharmacology
745,746,TNFSF9,TNFRSF9,pharmacology,guide2pharmacology
827,828,ADAM17,ITGA5,ramilowski_known,ramilowski
828,829,ADAM17,ITGB1,ramilowski_known,ramilowski
846,847,ADM,CALCRL,ramilowski_known,ramilowski
849,850,ADM,RAMP2,ramilowski_known,ramilowski
960,961,CALM1,MYLK,ramilowski_known,ramilowski
963,964,CALM1,PDE1B,ramilowski_known,ramilowski
965,966,CALM2,MYLK,ramilowski_known,ramilowski
968,969,CALM2,PDE1B,ramilowski_known,ramilowski
970,971,CALM3,MYLK,ramilowski_known,ramilowski
973,974,CALM3,PDE1B,ramilowski_known,ramilowski
1055,1056,CD70,CD27,ramilowski_known,ramilowski
1114,1115,CXCL10,CXCR3,ramilowski_known,ramilowski
1152,1153,DLL1,NOTCH1,ramilowski_known,ramilowski
1153,1154,DLL1,NOTCH2,ramilowski_known,ramilowski
1154,1155,DLL1,NOTCH3,ramilowski_known,ramilowski
1155,1156,DLL1,NOTCH4,ramilowski_known,ramilowski
1226,1227,EFNB2,EPHA4,ramilowski_known,ramilowski
1229,1230,EFNB2,EPHB3,ramilowski_known,ramilowski
1230,1231,EFNB2,EPHB4,ramilowski_known,ramilowski
1231,1232,EFNB2,EPHB6,ramilowski_known,ramilowski
1409,1410,HSP90B1,LRP1,ramilowski_known,ramilowski
1417,1418,ICAM3,ITGAL,ramilowski_known,ramilowski
1418,1419,ICAM3,ITGB2,ramilowski_known,ramilowski
1455,1456,IFNG,IFNGR1,ramilowski_known,ramilowski
1456,1457,IFNG,IFNGR2,ramilowski_known,ramilowski
1509,1510,IL23A,IL12RB1,ramilowski_known,ramilowski
1510,1511,IL23A,IL23R,ramilowski_known,ramilowski
1527,1528,IL6,IL6R,ramilowski_known,ramilowski
1528,1529,IL6,IL6ST,ramilowski_known,ramilowski
1529,1530,IL7,IL2RG,ramilowski_known,ramilowski
1530,1531,IL7,IL7R,ramilowski_known,ramilowski
1591,1592,LTA,LTBR,ramilowski_known,ramilowski
1592,1593,LTA,TNFRSF14,ramilowski_known,ramilowski
1593,1594,LTA,TNFRSF1A,ramilowski_known,ramilowski
1594,1595,LTA,TNFRSF1B,ramilowski_known,ramilowski
1595,1596,LTB,CD40,ramilowski_known,ramilowski
1596,1597,LTB,LTBR,ramilowski_known,ramilowski
1608,1609,NAMPT,INSR,ramilowski_known,ramilowski
1887,1888,TNFSF10,TNFRSF10A,ramilowski_known,ramilowski
1888,1889,TNFSF10,TNFRSF10B,ramilowski_known,ramilowski
1890,1891,TNFSF10,TNFRSF10D,ramilowski_known,ramilowski
1897,1898,TNFSF13B,TNFRSF13C,ramilowski_known,ramilowski
1908,1909,TNFSF9,TNFRSF9,ramilowski_known,ramilowski
1909,1910,TNF,LTBR,ramilowski_known,ramilowski
1910,1911,TNF,TNFRSF1A,ramilowski_known,ramilowski
1911,1912,TNF,TNFRSF1B,ramilowski_known,ramilowski
1912,1913,TNF,TNFRSF21,ramilowski_known,ramilowski
1932,1933,ULBP2,KLRK1,ramilowski_known,ramilowski
1989,1990,CALR,TSHR,ppi_lr,ppi_prediction
2002,2003,TNF,TRAF2,ppi_lr,ppi_prediction
2020,2021,HBEGF,CD44,ppi_lr,ppi_prediction
2044,2045,EFNB2,SDC2,ppi_lr,ppi_prediction
2051,2052,TNF,DAG1,ppi_lr,ppi_prediction
2053,2054,TNF,NEO1,ppi_lr,ppi_prediction
2056,2057,CALR,NTRK1,ppi_lr,ppi_prediction
2058,2059,EFNB2,SDC1,ppi_lr,ppi_prediction
2060,2061,HBEGF,ERBB2,ppi_lr,ppi_prediction
2062,2063,HBEGF,PRLR,ppi_lr,ppi_prediction
2067,2068,AREG,ERBB2,ppi_lr,ppi_prediction
2070,2071,IL6,ERBB2,ppi_lr,ppi_prediction
2071,2072,EFNB2,LRP6,ppi_lr,ppi_prediction
2072,2073,EFNB2,FZD6,ppi_lr,ppi_prediction
2074,2075,EFNB2,INSR,ppi_lr,ppi_prediction
2076,2077,EFNB2,FZD5,ppi_lr,ppi_prediction
2077,2078,EFNB2,LRP8,ppi_lr,ppi_prediction
2090,2091,EFNB2,LRP2,ppi_lr,ppi_prediction
2101,2102,CALR,FAS,ppi_lr,ppi_prediction
2112,2113,CALR,LRP5,ppi_lr,ppi_prediction
2113,2114,CALR,HMMR,ppi_lr,ppi_prediction
2123,2124,CALR,CD44,ppi_lr,ppi_prediction
2137,2138,ADAM17,NOTCH1,ppi_lr,ppi_prediction
2171,2172,ADAM17,IL6R,ppi_lr,ppi_prediction
2208,2209,CALR,LRP1,ppi_lr,ppi_prediction
2220,2221,HSP90B1,TNFRSF1B,ppi_lr,ppi_prediction
2221,2222,CALM1,TNFRSF1B,ppi_lr,ppi_prediction
2240,2241,TNFSF9,TRAF2,ppi_lr,ppi_prediction
2242,2243,CALM1,TRAF2,ppi_lr,ppi_prediction
2253,2254,CALM1,FAS,ppi_lr,ppi_prediction
2276,2277,CALM1,TNFRSF1A,ppi_lr,ppi_prediction
2314,2315,CALM1,VIPR1,ppi_lr,ppi_prediction
3959,3960,LTA,TRAF2,ppi_lr,ppi_prediction
3960,3961,TNF,FAS,ppi_lr,ppi_prediction
3961,3962,TNF,FLT4,ppi_lr,ppi_prediction
4087,4088,CXCL10,C5AR1,ppi_lr,ppi_prediction
4100,4101,CXCL10,CCR1,ppi_lr,ppi_prediction
4101,4102,CXCL10,CCR7,ppi_lr,ppi_prediction
4102,4103,CXCL10,CXCR5,ppi_lr,ppi_prediction
4103,4104,CXCL10,SSTR3,ppi_lr,ppi_prediction
4109,4110,CXCL10,OPRL1,ppi_lr,ppi_prediction
4110,4111,CXCL10,CCR2,ppi_lr,ppi_prediction
4111,4112,CXCL10,CCR10,ppi_lr,ppi_prediction
4121,4122,CXCL10,CCR4,ppi_lr,ppi_prediction
4122,4123,CXCL10,CCR5,ppi_lr,ppi_prediction
4123,4124,CXCL10,CCR6,ppi_lr,ppi_prediction
4124,4125,CXCL10,CCR8,ppi_lr,ppi_prediction
4126,4127,CXCL10,CXCR4,ppi_lr,ppi_prediction
4128,4129,CXCL10,P2RY14,ppi_lr,ppi_prediction
4130,4131,CXCL10,C3AR1,ppi_lr,ppi_prediction
4136,4137,CXCL10,NMUR1,ppi_lr,ppi_prediction
4137,4138,CXCL10,LPAR2,ppi_lr,ppi_prediction
4140,4141,CXCL10,PTGDR2,ppi_lr,ppi_prediction
4580,4581,NMB,F2R,ppi_lr,ppi_prediction
4588,4589,NMB,NTSR1,ppi_lr,ppi_prediction
4594,4595,NMB,HTR2B,ppi_lr,ppi_prediction
4599,4600,NMB,F2RL1,ppi_lr,ppi_prediction
4605,4606,NMB,KISS1R,ppi_lr,ppi_prediction
4612,4613,NMB,NMUR1,ppi_lr,ppi_prediction
4613,4614,NMB,LPAR2,ppi_lr,ppi_prediction
5086,5087,HSP90B1,BMPR1A,ppi_lr,ppi_prediction
5087,5088,HSP90B1,AMFR,ppi_lr,ppi_prediction
5508,5509,CALR,NCSTN,ppi_lr,ppi_prediction
5541,5542,ADM,VIPR2,ppi_lr,ppi_prediction
5546,5547,ADM,GIPR,ppi_lr,ppi_prediction
5550,5551,ADM,MC1R,ppi_lr,ppi_prediction
5676,5677,TNFSF10,TRAF2,ppi_lr,ppi_prediction
5741,5742,ADAM17,PTCH1,ppi_lr,ppi_prediction
5790,5791,LTB,TRAF2,ppi_lr,ppi_prediction
5966,5967,TNF,NRP1,ppi_lr,ppi_prediction
5967,5968,NAMPT,NTRK1,ppi_lr,ppi_prediction
5969,5970,NAMPT,IGF1R,ppi_lr,ppi_prediction
5975,5976,AREG,ERBB3,ppi_lr,ppi_prediction
6000,6001,CALR,MYLK,ppi_lr,ppi_prediction
6008,6009,CALM1,INSR,ppi_lr,ppi_prediction
6011,6012,CALR,IL7R,ppi_lr,ppi_prediction
6016,6017,CALR,CD40,ppi_lr,ppi_prediction
6019,6020,HSP90B1,ERBB2,ppi_lr,ppi_prediction
6035,6036,CALR,ITGA3,ppi_lr,ppi_prediction
6037,6038,CALR,ITGAV,ppi_lr,ppi_prediction
